ServingCell_RSRP,ServingCell_RSRQ,ServingCell_PCI,Neighbor1_RSRP,Neighbor1_RSRQ,Neighbor1_PCI,Neighbor1_IS_MOD3,SINR
-75,-6,27,-84,-17,29,0,20.7
-75,-6,27,-84,-17,29,0,21
-75,-6,27,-84,-16,29,0,20.6
-75,-6,27,-84,-16,29,0,20.8
-75,-6,27,-84,-16,29,0,21
-75,-6,27,-84,-16,29,0,20.8
-75,-6,27,-84,-16,29,0,20.4
-75,-6,27,-84,-16,29,0,21.2
-75,-6,27,-84,-16,29,0,20.9
-75,-6,27,-84,-16,29,0,20.8
-75,-6,27,-84,-16,29,0,20.4
-70,-5,27,-89,-24,28,0,23.5
-76,-6,276,-92,-16,34,0,25.3
-69,-6,276,-87,-23,34,0,28.1
-81,-6,35,-102,-25,276,0,21
-81,-7,35,-95,-8,149,0,22
-78,-6,35,-93,-25,34,0,23.1
-77,-7,35,-90,-20,34,0,23.9
-77,-7,35,-93,-23,34,0,14.5
-77,-7,35,-91,-21,34,0,15
-79,-7,35,-89,-24,149,0,24.1
-80,-6,35,-94,-21,34,0,24.4
-80,-6,35,-89,-19,34,0,23.5
-77,-6,35,-87,-18,34,0,21.7
